tweet,date,city,user_location,place,coordinates,id,link
@PalomaValenciaL éste es el Donald Trump en cuya campaña el uribismo se entrometió y puso a este esperpento a hablar de castrochavismo y Petro. ¡Como si Joe Biden y Kamala Harris no se hubieran dado cuenta de esto! ¡Uds. son tan patéticamente obvios y predecibles! https://t.co/dGG926lITr,2020-11-11 09:57:04,Bogota,,"Place(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326463949563441152,https://twitter.com/i/web/status/1326463949563441152
"@depaluna @GiuseppeNoc Pues claro que sí.
Hagamos un resumen
1. Noviembre 2019: protestas sudamerica y pandemia en New York 
2. Enero 2020: muerte a Soleimani y China anuncia la plandemia 
3. Febrero 2020: Impeachment a Donald Trump
4. Marzo-Octubre 2020: plandemia mundial fase 1",2020-11-11 07:16:27,Bogota,Paratebueno,,,1326423529638817793,https://twitter.com/i/web/status/1326423529638817793
"Buena la jugada del señor Donald Trump 
Literalmente se está auto exponiendo a toda la podredumbre de la izquierda y derecha.
Y todo el mundo tiene que despertar.
Ese era el plan junto con los Q'anons🇺🇸🇺🇸💥💥
 #MAGA2020 
@bivillamizar @Dianasc47344743 https://t.co/XyXzknVlS5",2020-11-11 05:04:35,Bogota,Paratebueno,,,1326390341872869377,https://twitter.com/i/web/status/1326390341872869377
"Furioso por los resultados, Donald Trump comenzó su purga. 
https://t.co/8AxJYrVYoR https://t.co/xUOqIlGcik",2020-11-11 04:55:02,Bogota,"Bogotá, Colombia",,,1326387938230489090,https://twitter.com/i/web/status/1326387938230489090
"Donald Trump: fraude, noticias falsas y sus últimos días en la Casa Blanca. Trump está listo para perdonar aliados y devolver favores, y castigar a quienes lo abandonaron en un momento crítico. 

https://t.co/5Tq9eDZlAQ https://t.co/HzpK6uBZuE",2020-11-11 04:33:00,Bogota,"Bogotá, Colombia",,,1326382393322840072,https://twitter.com/i/web/status/1326382393322840072
"Sin ninguna prueba presentada hasta ahora, Donald Trump continuará peleando en las cortes de EE. UU. bajo la teoría de un supuesto fraude. No será lo único que haga en el tiempo que le queda como mandatario, pues ha llegado la hora de ajustar cuentas. https://t.co/9UcSXo7iCm https://t.co/IUM2JYT2EO",2020-11-11 02:33:00,Bogota,"Bogotá, Colombia",,,1326352194682187776,https://twitter.com/i/web/status/1326352194682187776
"El presidente electo de EE. UU., Joe Biden, tachó este martes de ""vergonzoso"" que el mandatario saliente, Donald Trump, se niegue a reconocer la derrota y pronosticó que eso será una mancha en el legado de su predecesor. Estos son los detalles
➡️ https://t.co/NVBEBpUGcr https://t.co/NppkrHTZOw",2020-11-11 01:30:04,Bogota,Bogotá,,,1326336356151402498,https://twitter.com/i/web/status/1326336356151402498
"#Internacional El Kremlin anunció ayer que se abstendrá de comentar sobre los resultados electorales de los Estados Unidos hasta que se hayan resuelto las acciones judiciales que se encuentran en curso, entabladas por la campaña del presidente republicano Donald Trump. https://t.co/AwuyM7LuUo",2020-11-11 01:30:00,Bogota,Bogotá- Colombia,,,1326336340796076032,https://twitter.com/i/web/status/1326336340796076032
"Guarden este tuit, gana reelección Donald Trump.",2020-11-11 01:02:43,Bogota,Bogota - Colombia.,,,1326329473088843777,https://twitter.com/i/web/status/1326329473088843777
"Donald Trump: fraude, noticias falsas y sus últimos días en la Casa Blanca. Trump está listo para perdonar aliados y devolver favores, y castigar a quienes lo abandonaron en un momento crítico. 

https://t.co/5Tq9eDHKcg https://t.co/95gz4mBcNA",2020-11-11 00:59:00,Bogota,"Bogotá, Colombia",,,1326328538555822080,https://twitter.com/i/web/status/1326328538555822080
"Con una diferencia de más de cuatro millones de votos, el presidente Donald Trump insiste en negarse a reconocer los resultados en deterioro de la democracia. https://t.co/7LwMUMXsaW",2020-11-11 00:56:30,Bogota,Bogotá Colombia,,,1326327912178528258,https://twitter.com/i/web/status/1326327912178528258
Los trinos de Trump siguen siendo marcados como engañosos https://t.co/TciFAE9TuG Via @eltiempo https://t.co/u6XZEhtAtO,2020-11-11 00:01:03,Bogota,"Bogotá, Colombia",,,1326313955938111489,https://twitter.com/i/web/status/1326313955938111489
"@JotaPeHernandez 
Una victoria de Donald Trump 
Es una victoria para luchar contra la narco dictadura genocista de Nicolás Maduro. https://t.co/7w3LXHCw76",2020-11-10 23:53:07,Bogota,Paratebueno,,,1326311961127161856,https://twitter.com/i/web/status/1326311961127161856
"Donald Trump es el camino más largo hacia el nuevo orden mundial y es infiltrado dentro de esa secta globalista pero no para atacar a la humanidad.
Sino para debilitar al deep state y exponer el pantano y podredumbre https://t.co/1zq3tlqKuP",2020-11-10 23:51:48,Bogota,Paratebueno,,,1326311630259560449,https://twitter.com/i/web/status/1326311630259560449
El presidente electo Joe Biden ve 'vergonzosa' obstrucción de Donald Trump y dice que no lo afectará ► https://t.co/V3YxFIeJOn https://t.co/7fxCTUnhrJ,2020-11-10 23:30:45,Bogota,"Bogotá, Colombia",,,1326306329036791808,https://twitter.com/i/web/status/1326306329036791808
"¡Hoy en Enfoque! 

Medios de comunicación en EE.UU cortan transmisión cuando Donald Trump se pronunciaba

¿Los medios locales se hubieran comportado de la misma manera?

¡Opina con nosotros! https://t.co/WIINdNwd1k",2020-11-10 23:21:12,Bogota,"Tolima, Colombia",,,1326303929211244545,https://twitter.com/i/web/status/1326303929211244545
"A palabras necias, oídos sordos: El presidente electo de Estados Unidos, Joe Biden, le restó importancia al rechazo de Donald Trump de ayudar con la transición hacia el nuevo Gobierno, tras perder la reelección.

¿Usted qué opina?

https://t.co/bRsp57WiwK",2020-11-10 23:09:00,Bogota,"Bogotá, Colombia",,,1326300856149561344,https://twitter.com/i/web/status/1326300856149561344
"@CNNEE Pueden hacer el eco q quieran Donald Trump ya es presidente por cuatro años más la corte lo decidirá por el fraude,no se hagan todos no les comen cuento.",2020-11-10 23:08:37,Bogota,Bogotá,,,1326300761563815936,https://twitter.com/i/web/status/1326300761563815936
La decisión generó críticas pues el fiscal general estaría apoyando las afirmaciones infundadas del presidente Donald Trump acerca de fraude electoral.  https://t.co/nxA8LUiVOL,2020-11-10 23:05:02,Bogota,"Bogotá, Colombia",,,1326299860404998144,https://twitter.com/i/web/status/1326299860404998144
"Sin ninguna prueba presentada hasta ahora, Donald Trump continuará peleando en las cortes de EE. UU. bajo la teoría de un supuesto fraude. No será lo único que haga en el tiempo que le queda como mandatario, pues ha llegado la hora de ajustar cuentas. https://t.co/9UcSXo7iCm https://t.co/rPOV77DHp4",2020-11-10 22:58:00,Bogota,"Bogotá, Colombia",,,1326298087703392260,https://twitter.com/i/web/status/1326298087703392260
"#Internacional David Bossie, encargado de la campaña del presidente Donald Trump para buscar que las cortes cambien los resultados electorales a su favor, ha salido positivo al COVID-19. De igual manera, Ben Carson, Secretario de Vivienda y Desarrollo Urbano. https://t.co/sg8rHVQbd3",2020-11-10 22:30:00,Bogota,Bogotá- Colombia,,,1326291041406816256,https://twitter.com/i/web/status/1326291041406816256
"#ÚLTIMO | Por esta razón CAROLINA DEL NORTE es #tendencia mundial 

Los 15 votos electorales que otorga Carolina del Norte acaban de pasar a Donald Trump. Sumaría hasta el momento 229. Las #Elecciones2020 no terminan.

https://t.co/HZq8UOk657 https://t.co/LJmN9ZNa37",2020-11-10 22:16:28,Bogota,Bogotá - Colombia,,,1326287634994515968,https://twitter.com/i/web/status/1326287634994515968
"""Espero con ansias hablar con usted"", la invitación de Joe Biden a Donald Trump tras las denuncias de fraude",2020-11-10 21:16:54,Bogota,BOGOTA,,,1326272646896611328,https://twitter.com/i/web/status/1326272646896611328
"Amigo Juanito 
Me perdonas lo que te voy a decir  pero te apresurastes  al felicitar y aceptar la victoria de Biden
Donald Trump sigue siendo y fué reelegido para su segundo  mandato;  
Te toca llamarlo y rectificar porque ese señor es el que te tiene donde estás!",2020-11-10 21:01:20,Bogota,,"Place(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326268728686891010,https://twitter.com/i/web/status/1326268728686891010
"Donald Trump: fraude, noticias falsas y sus últimos días en la Casa Blanca.  Trump está listo para perdonar aliados y devolver favores, y castigar a quienes lo abandonaron en un momento crítico. 

https://t.co/5Tq9eDZlAQ https://t.co/iPc6vsAp3v",2020-11-10 20:56:00,Bogota,"Bogotá, Colombia",,,1326267385846894593,https://twitter.com/i/web/status/1326267385846894593
"Donald Trump: fraude, noticias falsas y sus últimos días en la Casa Blanca
https://t.co/8CMeTKHFlX https://t.co/9wybDu1PKn",2020-11-10 20:55:04,Bogota,"Bogotá, Colombia",,,1326267150286336006,https://twitter.com/i/web/status/1326267150286336006
"@clarooscuro20 Hasta el 14 de diciembre sabremos los resultados realmente, se puede seguir soñando, Donald Trump tiene posibilidades.",2020-11-10 20:52:58,Bogota,worldwide,"Place(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326266623754461185,https://twitter.com/i/web/status/1326266623754461185
"Donald Trump representa la legalidad, la tradición, los valores, el respeto a Dios y a la ley.

Trump representa el respeto a los padres fundadores de su patria y el respeto a sus electores a quienes les cumplió todas las promesas que hizo en campaña. 

#GodBlessPresidentTrump https://t.co/Tt2w2RjDBD",2020-11-10 20:32:09,Bogota,"Bogotá, Colombia",,,1326261384066326529,https://twitter.com/i/web/status/1326261384066326529
Nigeria apoya al señor Donald Trump https://t.co/U1Btawlw9S,2020-11-10 19:41:07,Bogota,Paratebueno,,,1326248542290243584,https://twitter.com/i/web/status/1326248542290243584
